,,,,,,,
1,apple,5(a▮▮▮▮),字,,,1,
,リンゴ,,,,,,
2,all,3(a▮▮),字,,,1,【他】あらゆる、最高の
,すべて,,,,,,
3,animal,6(a▮▮▮▮▮),字,,,1,【他】哺乳動物
,動物,,,,,,
4,about,5(a▮▮▮▮),字,,,1,【他】～に関して
,およそ,,,,,,
5,bad,3(b▮▮),字,,,1,【他】粗悪な、間違った
,悪い,,,,,,
6,ball,4(▮▮▮l),字,,,1,【他】球形のもの、天体
,球,,,,,,
7,bike,4(b▮▮▮),字,,,1,
,自転車,,,,,,
8,birthday,8(b▮▮▮▮▮▮▮),字,,,1,
,誕生日,,,,,,
9,blue,4(b▮▮▮),字,,,1,【他】紺色、ゆううつで
,青,,,,,,
10,body,4(b▮▮▮),字,,,1,【他】死骸、乗り物の本体
,身体,,,,,,
11,brother,7(b▮▮▮▮▮▮),字,,,1,【他】同胞、あなた
,兄弟,,,,,,
12,camera,6(c▮▮▮▮▮),字,,,1,
,カメラ,,,,,,
13,can,3(c▮▮),字,,,1,【他】缶詰
,できる,,,,,,
14,clean,5(c▮▮▮▮),字,,,1,【他】洗浄する、料理を平らげる
,(～を)掃除する,,,,,,
15,coffee,6(c▮▮▮▮▮),字,,,1,
,コーヒー,,,,,,
16,come,4(c▮▮▮),字,,,1,【他】届く、現れる
,来る,,,,,,
17,catch,5(c▮▮▮▮),字,,,1,【他】握る、見つける
,(～を)つかまえる,,,,,,
18,city,4(c▮▮▮),字,,,1,【他】市、全市民
,都市,,,,,,
19,clothes,7(c▮▮▮▮▮▮),字,,,1,【他】衣類、寝具
,服,,,,,,
20,dance,5(d▮▮▮▮),字,,,1,【他】はね回る
,踊る,,,,,,
21,day,3(d▮▮),字,,,1,【他】日中、昼
,日,,,,,,
22,deep,4(d▮▮▮),字,,,1,【他】奥行きのある
,深い,,,,,,
23,dinner,6(d▮▮▮▮▮),字,,,1,【他】晩餐会
,夕食,,,,,,
24,eat,3(e▮▮),字,,,1,【他】飲む、腐食する
,(～を)食べる,,,,,,
25,English,7(E▮▮▮▮▮▮),字,,,1,【他】英語の、イギリスの
,英語,,,,,,
26,easy,4(e▮▮▮),字,,,1,【他】安易な、楽な
,かんたんな,,,,,,
27,enjoy,5(e▮▮▮▮),字,,,1,【他】喜ぶ
,(～を)楽しむ,,,,,,
28,face,4(f▮▮▮),字,,,1,【他】(物の)表面
,顔,,,,,,
29,famous,6(f▮▮▮▮▮),字,,,1,【他】すばらしい
,有名な,,,,,,
30,fast,4(f▮▮▮),字,,,1,【他】しっかりした
,速く,,,,,,
31,favorite,8(f▮▮▮▮▮▮▮),字,,,1,【他】得意な
,お気に入り,,,,,,
32,finger,6(f▮▮▮▮▮),字,,,1,【他】指状のもの
,指,,,,,,
